state,bh_mK,flux_s,flux_err,red_power_mW,blue_power_mW
Rb,-5.72833921e-05,56.18685466563845,2.9338942244825983,1.22610123,0.0
Rb,0.030139647,48.572029856686484,3.702538822925607,1.4747634,0.4477374
Rb,0.0652731837,28.369282066681713,1.46958345276454,1.68141889876,0.819813605904
Rb,0.101130581,17.030473100825528,1.4811241163318623,1.87068578,1.1605806
Rb,0.13684318,8.425309961717318,0.4608136139542488,2.050367223,1.4840895019
Rb,0.173132262,4.3118295034284015,0.29722724078086793,2.2237289,1.79621933
Rb,0.210554553,1.8835094105171646,0.18324482917605378,2.39244839,2.099992013
Rb,0.246723874,1.2282056203182095,0.14460668315696856,2.55774345,2.397598983
Rb,0.282650018,0.7833437649279795,0.06472022097418657,2.720446822,2.690539558
Rb,0.320066921,0.3092110011109296,0.07145576927273113,2.88104318,2.97968653
Rb,0.356104434,0.26964977122297507,0.08282877384037951,3.0400279573,3.2659319553
Rb,0.393936257,0.13246240500201578,0.08027823778673727,3.197613412,3.549657907
