state,bh_mK,flux_s,flux_err
Potentals_1minus_minus1,-2.5533302e-05,1662.3333331389363,30.02488679478406
Potentals_1minus_minus1,0.00808874309,1447.0952379541,51.919538192165234
Potentals_1minus_minus1,0.0207627352,1356.130952297795,51.5514259902761
Potentals_1minus_minus1,0.0333351096,1061.166666728351,28.80825640780814
Potentals_1minus_minus1,0.046049324,953.0984849509438,38.50663872629965
Potentals_1minus_minus1,0.0591849766,741.0133201664678,19.790381198187138
Potentals_1minus_minus1,0.0723374973,514.8994546769304,18.195856330685988
Potentals_1minus_minus1,0.0853462781,336.62935937118067,14.916897757222449
Potentals_1minus_minus1,0.0983656152,114.50117110027186,2.4501868097449275
Potentals_1minus_minus1,0.111425916,24.214702628951912,0.7378161204857652
Potentals_1minus_minus1,0.12498551,4.196184261733437,0.27421030238496363
Potentals_1minus_minus1,0.138548131,0.7408590515675177,0.07660262945708292
Potentals_1minus_minus1,0.151800954,0.17490153111119272,0.06075010404726126
Potentals_1minus_0,-1.24061055e-05,1457.1428570096755,45.70078061428999
Potentals_1minus_0,0.0154448708,1101.666666711445,53.403053682718124
Potentals_1minus_0,0.0332568441,772.1153847678179,12.866459689434222
Potentals_1minus_0,0.0505041381,413.8227274180055,12.790231098118563
Potentals_1minus_0,0.0670129247,162.0622238140503,3.368277921433057
Potentals_1minus_0,0.0833345769,53.24712919064085,1.395114692134414
Potentals_1minus_0,0.0987475042,16.78390838414923,0.38226875214084155
Potentals_1minus_0,0.113584002,4.707936702579026,0.2852841274285037
Potentals_1minus_0,0.128113861,1.000657878446487,0.08487952898957342
Potentals_1minus_0,0.142782369,0.19361028681371276,0.058411560102888595
Potentals_1minus_0,0.157150793,0.08336880797214631,0.028005152309524255
Potentals_1minus_0,0.171398269,,
Potentals_1minus_0,0.185476626,,
Potentals_1minus_1,-3.14059653e-05,1441.1904760501293,41.750935178695435
Potentals_1minus_1,0.00635235376,1288.0952380316307,32.07112805862102
Potentals_1minus_1,0.0191091595,1152.2500000211019,28.06601838862064
Potentals_1minus_1,0.032269445,966.426767781599,35.56655902592228
Potentals_1minus_1,0.0463315376,651.3392320043083,14.3788438935336
Potentals_1minus_1,0.0616685527,253.77021912702108,8.621264324859425
Potentals_1minus_1,0.0774923168,19.336633019462077,0.5251968103233956
Potentals_1minus_1,0.0938277196,1.2097436761873768,0.12327326979463303
Potentals_1minus_1,0.111622838,0.08675828634434553,0.02906264529836691
Potentals_1minus_1,0.129339785,,
Potentals_1minus_1,0.148733267,,
Potentals_1minus_1,0.168167109,,
Potentals_1minus_1,0.187072774,,
Potentals_0_0,-2.31179001e-05,1473.5952379715904,44.13920763168994
Potentals_0_0,0.00993139209,1321.5476189535975,48.29234648384618
Potentals_0_0,0.0239967375,1058.8333333852308,22.146119680464512
Potentals_0_0,0.0382102765,933.2735043882755,29.993516795705563
Potentals_0_0,0.0529212805,690.3054030892661,17.849337126613655
Potentals_0_0,0.0676403482,397.52201029149836,14.660071354526746
Potentals_0_0,0.0822940017,137.53024254360258,5.0033530624311755
Potentals_0_0,0.0970056781,21.004100413676476,0.5975294469127044
Potentals_0_0,0.112518227,2.86486150013181,0.2049436734420063
Potentals_0_0,0.127438165,0.3238971792934878,0.05373168170360191
Potentals_0_0,0.142452163,0.050180629122292805,0.03647641533581848
Potentals_0_0,0.158318402,,
Potentals_0_0,0.17419866,,
Potentals_1_1,-2.20453302e-05,1495.5238093716848,41.42164995975301
Potentals_1_1,0.0107504155,1291.8055554860193,48.037823184550824
Potentals_1_1,0.025454556,1077.2777778341108,30.437645665816465
Potentals_1_1,0.04039859,841.9743591133422,21.89930093807636
Potentals_1_1,0.0560129109,535.7171930962305,24.53012446223476
Potentals_1_1,0.0713566479,264.2065034190533,11.231548477016611
Potentals_1_1,0.0867720171,44.35162299034549,1.6724110716170921
Potentals_1_1,0.102852719,4.265788583632299,0.3104751445911041
Potentals_1_1,0.11857487,0.6058638682882258,0.07114670679776347
Potentals_1_1,0.134458676,0.06549197350477606,0.026782637356898634
Potentals_1_1,0.151079236,,
Potentals_1_1,0.167715934,,
Potentals_1_1,0.184201157,,
